CNTRY_TERR,ISO_3_CODE,RANK,VALUE
Albania,ALB,1,Breast
Austria,AUT,1,Breast
Belgium,BEL,1,Breast
Bosnia and Herzegovina,BIH,1,Breast
Belarus,BLR,1,Breast
Bulgaria,BGR,1,Breast
Ireland,IRL,1,Breast
Estonia,EST,1,Breast
Czechia,CZE,1,Breast
Finland,FIN,1,Breast
France,FRA,1,Breast
Germany,DEU,1,Breast
Greece,GRC,1,Breast
Croatia,HRV,1,Breast
Hungary,HUN,1,Breast
Iceland,ISL,1,Breast
Latvia,LVA,1,Breast
Lithuania,LTU,1,Breast
Slovakia,SVK,1,Breast
Republic of Moldova,MDA,1,Breast
Republic of North Macedonia,MKD,1,Breast
Netherlands,NLD,1,Breast
Norway,NOR,1,Breast
Poland,POL,1,Breast
Portugal,PRT,1,Breast
Romania,ROU,1,Breast
Russian Federation,RUS,1,Breast
Slovenia,SVN,1,Breast
Spain,ESP,1,Breast
Sweden,SWE,1,Breast
Switzerland,CHE,1,Breast
United Kingdom of Great Britain and Northern Ireland,GBR,1,Breast
Ukraine,UKR,1,Breast
Denmark,DNK,1,Breast
Italy,ITA,1,Breast
Montenegro,MNE,1,Breast
Serbia,SRB,1,Breast
Cyprus,CYP,1,Breast
Luxembourg,LUX,1,Breast
Malta,MLT,1,Breast
