CNTRY_TERR,ISO_3_CODE,RANK,VALUE
Albania,ALB,1,Lung
Austria,AUT,2,Prostate
Belgium,BEL,2,Prostate
Bosnia and Herzegovina,BIH,1,Lung
Belarus,BLR,1,Lung
Bulgaria,BGR,2,Prostate
Ireland,IRL,2,Prostate
Estonia,EST,2,Prostate
Czechia,CZE,2,Prostate
Finland,FIN,2,Prostate
France,FRA,2,Prostate
Germany,DEU,2,Prostate
Greece,GRC,1,Lung
Croatia,HRV,2,Prostate
Hungary,HUN,1,Lung
Iceland,ISL,2,Prostate
Latvia,LVA,2,Prostate
Lithuania,LTU,2,Prostate
Slovakia,SVK,3,Colorectum
Republic of Moldova,MDA,1,Lung
Republic of North Macedonia,MKD,1,Lung
Netherlands,NLD,2,Prostate
Norway,NOR,2,Prostate
Poland,POL,1,Lung
Portugal,PRT,2,Prostate
Romania,ROU,1,Lung
Russian Federation,RUS,1,Lung
Slovenia,SVN,2,Prostate
Spain,ESP,2,Prostate
Sweden,SWE,2,Prostate
Switzerland,CHE,2,Prostate
United Kingdom of Great Britain and Northern Ireland,GBR,2,Prostate
Ukraine,UKR,1,Lung
Denmark,DNK,2,Prostate
Italy,ITA,2,Prostate
Montenegro,MNE,1,Lung
Serbia,SRB,1,Lung
Cyprus,CYP,2,Prostate
Luxembourg,LUX,2,Prostate
Malta,MLT,2,Prostate
